invoice_id,client_id,client_industry,invoice_amount,payment_terms_days,invoice_day_of_week,invoice_day_of_month,invoice_month,days_since_invoice_sent,client_avg_days_to_pay,client_late_payment_rate,client_total_invoices_before_this,amount_vs_client_avg,is_repeat_client,payment_status
INV-10271,CL-1020,Marketing,385900.0,30,1,5,7,68,25.3,0.05,5,1.34,True,very_late
INV-10272,CL-1021,Consulting,115600.0,45,4,27,11,45,55.5,0.5,5,1.2,True,very_late
INV-10273,CL-1022,Photography,10100.0,45,0,14,1,58,18.8,0.05,5,0.42,True,on_time
INV-10274,CL-1023,Copywriting,107700.0,30,4,14,10,51,16.2,0.05,5,1.22,True,late
INV-10275,CL-1024,Design,255100.0,30,2,4,7,2,27.4,0.05,5,1.14,True,on_time
INV-10276,CL-1025,Development,148400.0,15,6,20,8,88,18.7,0.05,5,1.03,True,very_late
INV-10277,CL-1026,Marketing,252800.0,15,3,28,2,31,15.3,0.05,5,1.5,True,on_time
INV-10278,CL-1027,Consulting,18000.0,30,4,3,7,39,46.5,0.833,5,1.12,True,late
INV-10279,CL-1028,Photography,202300.0,15,2,25,3,9,25.9,0.05,5,0.84,True,on_time
INV-10280,CL-1029,Copywriting,183700.0,15,4,17,4,44,22.5,0.05,5,1.15,True,late
INV-10281,CL-1030,Design,387400.0,45,6,5,4,13,25.3,0.05,5,1.11,True,late
INV-10282,CL-1031,Development,184500.0,15,1,20,3,83,24.2,0.05,5,1.36,True,very_late
INV-10283,CL-1032,Marketing,36500.0,45,3,15,10,74,53.0,0.167,5,1.52,True,late
INV-10284,CL-1033,Consulting,171500.0,45,5,21,10,41,27.6,0.05,5,0.49,True,on_time
INV-10285,CL-1034,Photography,74800.0,45,2,5,8,8,19.3,0.05,5,0.52,True,on_time
INV-10286,CL-1035,Copywriting,217400.0,45,2,26,5,75,21.7,0.05,5,1.01,True,late
INV-10287,CL-1036,Design,392400.0,45,0,10,8,57,25.6,0.05,5,1.12,True,late
INV-10288,CL-1037,Development,192500.0,30,6,10,2,82,22.7,0.05,5,1.34,True,very_late
INV-10289,CL-1038,Marketing,243300.0,15,4,20,9,49,26.1,0.05,5,1.09,True,late
INV-10290,CL-1039,Consulting,23800.0,45,6,24,1,57,38.9,0.167,5,0.59,True,on_time
INV-10291,CL-1040,Photography,54000.0,45,5,7,6,77,23.9,0.05,5,1.12,True,late
INV-10292,CL-1041,Copywriting,229600.0,15,0,15,2,43,45.7,0.167,5,1.25,True,late
INV-10293,CL-1042,Design,136400.0,15,4,21,3,5,34.7,0.167,5,1.07,True,on_time
INV-10294,CL-1043,Development,115800.0,30,3,17,9,78,18.1,0.05,5,0.85,True,very_late
INV-10295,CL-1044,Marketing,214000.0,30,2,13,7,43,46.2,0.167,5,1.34,True,on_time
INV-10296,CL-1045,Consulting,73800.0,15,6,21,11,42,17.3,0.05,5,1.02,True,late
INV-10297,CL-1046,Photography,28400.0,15,4,22,7,36,63.5,0.833,5,1.18,True,very_late
INV-10298,CL-1047,Copywriting,172500.0,45,4,28,3,42,17.9,0.05,5,1.44,True,on_time
INV-10299,CL-1048,Design,211100.0,45,1,12,5,83,22.9,0.05,5,0.91,True,very_late
INV-10300,CL-1049,Development,299600.0,30,1,20,12,10,19.1,0.05,5,0.86,True,on_time
INV-10301,CL-1000,Design,31300.0,30,5,26,6,16,23.0,0.05,6,1.3,True,on_time
INV-10302,CL-1001,Development,162700.0,45,5,17,2,82,14.4,0.05,6,1.36,True,very_late
INV-10303,CL-1002,Marketing,64700.0,45,2,1,6,39,17.9,0.05,6,1.16,True,late
INV-10304,CL-1003,Consulting,79300.0,15,2,25,8,24,17.1,0.05,6,0.76,True,on_time
INV-10305,CL-1004,Photography,21500.0,15,1,3,5,12,56.0,0.167,6,0.54,True,on_time
INV-10306,CL-1005,Copywriting,50300.0,45,6,24,9,4,23.5,0.05,6,1.26,True,on_time
INV-10307,CL-1006,Design,97100.0,45,1,20,7,19,58.4,0.333,6,1.1,True,very_late
INV-10308,CL-1007,Development,263600.0,45,6,20,3,56,33.0,0.167,6,2.35,True,very_late
INV-10309,CL-1008,Marketing,216100.0,30,5,24,4,56,19.9,0.05,6,1.04,True,late
INV-10310,CL-1009,Consulting,75700.0,45,6,15,4,68,14.4,0.05,6,1.18,True,late
INV-10311,CL-1010,Photography,48500.0,30,6,7,6,86,48.3,0.9,6,0.76,True,very_late
INV-10312,CL-1011,Copywriting,139100.0,30,3,25,5,48,21.1,0.05,6,1.93,True,on_time
INV-10313,CL-1012,Design,111800.0,30,1,27,4,77,14.4,0.05,6,1.75,True,very_late
INV-10314,CL-1013,Development,17000.0,30,0,21,8,47,67.0,0.9,6,0.71,True,very_late
INV-10315,CL-1014,Marketing,163200.0,15,5,28,9,15,23.1,0.05,6,1.02,True,on_time
INV-10316,CL-1015,Consulting,48700.0,15,2,15,9,18,21.6,0.05,6,0.55,True,on_time
INV-10317,CL-1016,Photography,75700.0,15,1,27,8,44,17.1,0.05,6,0.95,True,late
INV-10318,CL-1017,Copywriting,16800.0,30,0,13,9,47,22.2,0.05,6,0.7,True,on_time
INV-10319,CL-1018,Design,213400.0,15,2,8,1,40,25.3,0.05,6,1.33,True,late
INV-10320,CL-1019,Development,15300.0,45,5,11,3,17,45.1,0.9,6,0.64,True,very_late
INV-10321,CL-1020,Marketing,256100.0,30,5,27,3,90,25.3,0.05,6,0.89,True,very_late
INV-10322,CL-1021,Consulting,87700.0,45,0,3,1,32,55.5,0.5,6,0.91,True,very_late
INV-10323,CL-1022,Photography,22000.0,15,4,24,10,67,18.8,0.05,6,0.92,True,very_late
INV-10324,CL-1023,Copywriting,34200.0,30,1,10,2,6,16.2,0.05,6,0.39,True,on_time
INV-10325,CL-1024,Design,206600.0,45,6,20,8,8,27.4,0.05,6,0.92,True,on_time
INV-10326,CL-1025,Development,275000.0,30,4,18,1,80,18.7,0.05,6,1.91,True,very_late
INV-10327,CL-1026,Marketing,152900.0,15,5,5,5,54,15.3,0.05,6,0.91,True,very_late
INV-10328,CL-1027,Consulting,39400.0,30,1,19,7,23,46.5,0.833,6,2.46,True,late
INV-10329,CL-1028,Photography,241200.0,15,4,12,2,67,25.9,0.05,6,1.0,True,very_late
INV-10330,CL-1029,Copywriting,171500.0,45,4,1,7,60,22.5,0.05,6,1.07,True,late
INV-10331,CL-1030,Design,286300.0,30,2,9,12,2,25.3,0.05,6,0.82,True,on_time
INV-10332,CL-1031,Development,134400.0,15,2,8,12,84,24.2,0.05,6,0.99,True,very_late
INV-10333,CL-1032,Marketing,18700.0,45,5,25,6,17,53.0,0.167,6,0.78,True,very_late
INV-10334,CL-1033,Consulting,320100.0,45,2,27,11,22,27.6,0.05,6,0.91,True,on_time
INV-10335,CL-1034,Photography,56900.0,45,3,23,8,80,19.3,0.05,6,0.4,True,late
INV-10336,CL-1035,Copywriting,334100.0,15,0,23,8,4,21.7,0.05,6,1.55,True,on_time
INV-10337,CL-1036,Design,310400.0,15,6,7,1,40,25.6,0.05,6,0.89,True,late
INV-10338,CL-1037,Development,88000.0,45,3,27,9,60,22.7,0.05,6,0.61,True,on_time
INV-10339,CL-1038,Marketing,151900.0,45,1,10,6,6,26.1,0.05,6,0.68,True,on_time
INV-10340,CL-1039,Consulting,55500.0,30,2,4,6,55,38.9,0.167,6,1.39,True,late
INV-10341,CL-1040,Photography,61800.0,45,3,13,6,23,23.9,0.05,6,1.29,True,on_time
INV-10342,CL-1041,Copywriting,153100.0,30,2,26,9,34,45.7,0.167,6,0.83,True,on_time
INV-10343,CL-1042,Design,83500.0,45,3,3,7,77,34.7,0.167,6,0.65,True,late
INV-10344,CL-1043,Development,125000.0,15,4,10,6,13,18.1,0.05,6,0.92,True,on_time
INV-10345,CL-1044,Marketing,205200.0,45,2,10,8,77,46.2,0.167,6,1.28,True,late
INV-10346,CL-1045,Consulting,63500.0,15,5,15,6,57,17.3,0.05,6,0.88,True,very_late
INV-10347,CL-1046,Photography,16400.0,30,4,14,5,81,63.5,0.833,6,0.68,True,very_late
INV-10348,CL-1047,Copywriting,147700.0,15,0,22,11,51,17.9,0.05,6,1.23,True,very_late
INV-10349,CL-1048,Design,260100.0,45,5,6,1,18,22.9,0.05,6,1.12,True,on_time
INV-10350,CL-1049,Development,483600.0,45,6,15,1,16,19.1,0.05,6,1.38,True,on_time
INV-10351,CL-1000,Design,20000.0,45,2,12,7,72,23.0,0.05,7,0.83,True,very_late
INV-10352,CL-1001,Development,93800.0,15,5,15,6,47,14.4,0.05,7,0.78,True,late
INV-10353,CL-1002,Marketing,32500.0,15,4,5,9,46,17.9,0.05,7,0.58,True,late
INV-10354,CL-1003,Consulting,66400.0,45,2,8,2,3,17.1,0.05,7,0.64,True,on_time
INV-10355,CL-1004,Photography,19300.0,30,4,13,9,15,56.0,0.167,7,0.48,True,on_time
INV-10356,CL-1005,Copywriting,43100.0,30,5,15,4,78,23.5,0.05,7,1.08,True,very_late
INV-10357,CL-1006,Design,72700.0,30,1,4,3,9,58.4,0.333,7,0.83,True,on_time
INV-10358,CL-1007,Development,110500.0,45,3,3,11,40,33.0,0.167,7,0.99,True,on_time
INV-10359,CL-1008,Marketing,216500.0,45,0,18,9,37,19.9,0.05,7,1.04,True,on_time
INV-10360,CL-1009,Consulting,56400.0,15,5,23,12,81,14.4,0.05,7,0.88,True,very_late
INV-10361,CL-1010,Photography,71300.0,30,4,8,2,25,48.3,0.9,7,1.11,True,on_time
INV-10362,CL-1011,Copywriting,44900.0,15,6,16,1,46,21.1,0.05,7,0.62,True,late
INV-10363,CL-1012,Design,67900.0,30,3,26,9,16,14.4,0.05,7,1.06,True,on_time
INV-10364,CL-1013,Development,24200.0,15,0,10,7,61,67.0,0.9,7,1.01,True,very_late
INV-10365,CL-1014,Marketing,132500.0,30,6,19,2,16,23.1,0.05,7,0.83,True,on_time
INV-10366,CL-1015,Consulting,94200.0,45,0,15,8,87,21.6,0.05,7,1.07,True,very_late
INV-10367,CL-1016,Photography,92300.0,15,6,25,9,81,17.1,0.05,7,1.15,True,very_late
INV-10368,CL-1017,Copywriting,34400.0,15,3,17,1,15,22.2,0.05,7,1.43,True,on_time
INV-10369,CL-1018,Design,175000.0,30,1,6,6,90,25.3,0.05,7,1.09,True,very_late
INV-10370,CL-1019,Development,43000.0,45,2,28,2,32,45.1,0.9,7,1.79,True,very_late
INV-10371,CL-1020,Marketing,151200.0,45,2,5,11,38,25.3,0.05,7,0.53,True,on_time
INV-10372,CL-1021,Consulting,77100.0,15,4,21,3,75,55.5,0.5,7,0.8,True,very_late
INV-10373,CL-1022,Photography,28800.0,15,1,22,10,77,18.8,0.05,7,1.2,True,very_late
INV-10374,CL-1023,Copywriting,93900.0,45,0,27,1,10,16.2,0.05,7,1.07,True,late
INV-10375,CL-1024,Design,180800.0,45,6,19,5,83,27.4,0.05,7,0.81,True,very_late
INV-10376,CL-1025,Development,104200.0,45,3,20,11,3,18.7,0.05,7,0.72,True,on_time
INV-10377,CL-1026,Marketing,119400.0,45,4,10,11,38,15.3,0.05,7,0.71,True,on_time
INV-10378,CL-1027,Consulting,11500.0,45,3,10,8,9,46.5,0.833,7,0.72,True,late
INV-10379,CL-1028,Photography,285200.0,15,3,14,8,59,25.9,0.05,7,1.19,True,very_late
INV-10380,CL-1029,Copywriting,118500.0,45,1,11,12,40,22.5,0.05,7,0.74,True,on_time
INV-10381,CL-1030,Design,286100.0,30,3,5,6,65,25.3,0.05,7,0.82,True,late
INV-10382,CL-1031,Development,333200.0,30,1,15,2,34,24.2,0.05,7,2.45,True,on_time
INV-10383,CL-1032,Marketing,35900.0,15,0,2,5,49,53.0,0.167,7,1.5,True,late
INV-10384,CL-1033,Consulting,345700.0,30,1,28,3,41,27.6,0.05,7,0.99,True,on_time
INV-10385,CL-1034,Photography,115600.0,45,2,7,3,63,19.3,0.05,7,0.8,True,on_time
INV-10386,CL-1035,Copywriting,276700.0,30,3,10,8,2,21.7,0.05,7,1.28,True,on_time
INV-10387,CL-1036,Design,436700.0,30,4,15,4,27,25.6,0.05,7,1.25,True,on_time
INV-10388,CL-1037,Development,179000.0,15,0,10,8,76,22.7,0.05,7,1.24,True,very_late
INV-10389,CL-1038,Marketing,173700.0,45,5,16,5,68,26.1,0.05,7,0.78,True,very_late
INV-10390,CL-1039,Consulting,39000.0,15,3,5,5,46,38.9,0.167,7,0.97,True,late
INV-10391,CL-1040,Photography,51100.0,30,0,13,1,72,23.9,0.05,7,1.06,True,very_late
INV-10392,CL-1041,Copywriting,210200.0,30,4,10,2,49,45.7,0.167,7,1.14,True,on_time
INV-10393,CL-1042,Design,155700.0,45,2,27,10,87,34.7,0.167,7,1.22,True,very_late
INV-10394,CL-1043,Development,182100.0,15,0,13,6,43,18.1,0.05,7,1.34,True,late
INV-10395,CL-1044,Marketing,156100.0,30,6,5,4,77,46.2,0.167,7,0.98,True,very_late
INV-10396,CL-1045,Consulting,83700.0,45,0,2,1,17,17.3,0.05,7,1.16,True,on_time
INV-10397,CL-1046,Photography,26400.0,30,4,15,3,77,63.5,0.833,7,1.1,True,very_late
INV-10398,CL-1047,Copywriting,82200.0,15,2,20,6,20,17.9,0.05,7,0.69,True,on_time
INV-10399,CL-1048,Design,228800.0,45,5,27,5,75,22.9,0.05,7,0.99,True,late
INV-10400,CL-1049,Development,353500.0,45,4,16,12,72,19.1,0.05,7,1.01,True,late
INV-10401,CL-1000,Design,33300.0,15,2,11,11,14,23.0,0.05,8,1.39,True,on_time
INV-10402,CL-1001,Development,124100.0,45,2,26,12,88,14.4,0.05,8,1.03,True,very_late
INV-10403,CL-1002,Marketing,48100.0,45,3,9,11,74,17.9,0.05,8,0.86,True,late
INV-10404,CL-1003,Consulting,112400.0,45,0,19,8,21,17.1,0.05,8,1.08,True,on_time
INV-10405,CL-1004,Photography,62100.0,45,4,25,7,18,56.0,0.167,8,1.55,True,on_time
INV-10406,CL-1005,Copywriting,37500.0,15,0,19,12,14,23.5,0.05,8,0.94,True,on_time
INV-10407,CL-1006,Design,146000.0,30,2,14,3,52,58.4,0.333,8,1.66,True,late
INV-10408,CL-1007,Development,160700.0,30,4,25,10,60,33.0,0.167,8,1.43,True,late
INV-10409,CL-1008,Marketing,228400.0,45,5,2,12,17,19.9,0.05,8,1.1,True,on_time
INV-10410,CL-1009,Consulting,65900.0,45,2,22,8,67,14.4,0.05,8,1.03,True,late
INV-10411,CL-1010,Photography,53400.0,15,3,18,6,69,48.3,0.9,8,0.83,True,very_late
INV-10412,CL-1011,Copywriting,161000.0,45,5,21,12,33,21.1,0.05,8,2.24,True,on_time
INV-10413,CL-1012,Design,54800.0,15,1,9,9,38,14.4,0.05,8,0.86,True,late
INV-10414,CL-1013,Development,41700.0,30,6,10,12,26,67.0,0.9,8,1.74,True,very_late
INV-10415,CL-1014,Marketing,138100.0,30,2,16,6,71,23.1,0.05,8,0.86,True,very_late
INV-10416,CL-1015,Consulting,55000.0,45,2,10,2,73,21.6,0.05,8,0.62,True,late
INV-10417,CL-1016,Photography,56300.0,30,3,27,6,18,17.1,0.05,8,0.7,True,on_time
INV-10418,CL-1017,Copywriting,23700.0,30,5,3,6,56,22.2,0.05,8,0.99,True,late
INV-10419,CL-1018,Design,275300.0,45,3,7,4,68,25.3,0.05,8,1.72,True,late
INV-10420,CL-1019,Development,33900.0,45,5,9,3,13,45.1,0.9,8,1.41,True,late
INV-10421,CL-1020,Marketing,283100.0,45,1,8,1,85,25.3,0.05,8,0.98,True,very_late
INV-10422,CL-1021,Consulting,64800.0,15,5,8,1,12,55.5,0.5,8,0.68,True,very_late
INV-10423,CL-1022,Photography,25400.0,45,3,4,11,17,18.8,0.05,8,1.06,True,very_late
INV-10424,CL-1023,Copywriting,97400.0,45,1,14,11,60,16.2,0.05,8,1.11,True,on_time
INV-10425,CL-1024,Design,179200.0,15,6,10,6,36,27.4,0.05,8,0.8,True,late
INV-10426,CL-1025,Development,115800.0,15,5,19,4,68,18.7,0.05,8,0.8,True,very_late
INV-10427,CL-1026,Marketing,134400.0,15,1,14,3,4,15.3,0.05,8,0.8,True,on_time
INV-10428,CL-1027,Consulting,26300.0,30,6,16,3,37,46.5,0.833,8,1.64,True,late
INV-10429,CL-1028,Photography,179300.0,15,2,19,10,13,25.9,0.05,8,0.75,True,on_time
INV-10430,CL-1029,Copywriting,131900.0,30,2,15,11,69,22.5,0.05,8,0.82,True,very_late
INV-10431,CL-1030,Design,375800.0,15,6,17,8,34,25.3,0.05,8,1.07,True,on_time
INV-10432,CL-1031,Development,233800.0,15,2,6,12,58,24.2,0.05,8,1.72,True,very_late
INV-10433,CL-1032,Marketing,19400.0,45,1,1,12,43,53.0,0.167,8,0.81,True,on_time
INV-10434,CL-1033,Consulting,386800.0,45,5,25,4,22,27.6,0.05,8,1.11,True,on_time
INV-10435,CL-1034,Photography,181300.0,45,3,27,7,65,19.3,0.05,8,1.26,True,on_time
INV-10436,CL-1035,Copywriting,203000.0,30,5,4,3,17,21.7,0.05,8,0.94,True,on_time
INV-10437,CL-1036,Design,216000.0,15,0,9,7,30,25.6,0.05,8,0.62,True,on_time
INV-10438,CL-1037,Development,142300.0,30,2,10,10,73,22.7,0.05,8,0.99,True,very_late
INV-10439,CL-1038,Marketing,186900.0,45,2,23,4,7,26.1,0.05,8,0.83,True,on_time
INV-10440,CL-1039,Consulting,39800.0,30,2,6,7,87,38.9,0.167,8,0.99,True,very_late
INV-10441,CL-1040,Photography,116200.0,45,6,10,12,15,23.9,0.05,8,2.42,True,on_time
INV-10442,CL-1041,Copywriting,155000.0,30,2,20,4,28,45.7,0.167,8,0.84,True,on_time
INV-10443,CL-1042,Design,162500.0,30,1,15,12,77,34.7,0.167,8,1.27,True,very_late
INV-10444,CL-1043,Development,166800.0,45,4,16,9,85,18.1,0.05,8,1.23,True,very_late
INV-10445,CL-1044,Marketing,196700.0,15,5,25,10,10,46.2,0.167,8,1.23,True,on_time
INV-10446,CL-1045,Consulting,96000.0,45,5,12,2,72,17.3,0.05,8,1.33,True,late
INV-10447,CL-1046,Photography,34900.0,45,4,7,10,68,63.5,0.833,8,1.45,True,very_late
INV-10448,CL-1047,Copywriting,194700.0,30,6,17,8,14,17.9,0.05,8,1.62,True,on_time
INV-10449,CL-1048,Design,218800.0,45,4,16,2,65,22.9,0.05,8,0.94,True,on_time
INV-10450,CL-1049,Development,500000.0,15,3,5,9,53,19.1,0.05,8,1.43,True,very_late
INV-10451,CL-1000,Design,27300.0,15,4,15,11,39,23.0,0.05,9,1.14,True,late
INV-10452,CL-1001,Development,121200.0,30,2,27,1,27,14.4,0.05,9,1.01,True,on_time
INV-10453,CL-1002,Marketing,59900.0,15,3,12,12,8,17.9,0.05,9,1.07,True,on_time
INV-10454,CL-1003,Consulting,64600.0,15,0,16,1,36,17.1,0.05,9,0.62,True,late
INV-10455,CL-1004,Photography,50100.0,15,6,21,12,82,56.0,0.167,9,1.25,True,very_late
INV-10456,CL-1005,Copywriting,35900.0,30,3,15,7,48,23.5,0.05,9,0.9,True,on_time
INV-10457,CL-1006,Design,96000.0,45,6,18,3,83,58.4,0.333,9,1.09,True,very_late
INV-10458,CL-1007,Development,108300.0,15,1,18,7,67,33.0,0.167,9,0.97,True,late
INV-10459,CL-1008,Marketing,257300.0,15,6,1,1,38,19.9,0.05,9,1.24,True,late
INV-10460,CL-1009,Consulting,54700.0,45,4,14,9,48,14.4,0.05,9,0.85,True,on_time
INV-10461,CL-1010,Photography,93200.0,15,3,12,3,35,48.3,0.9,9,1.46,True,very_late
INV-10462,CL-1011,Copywriting,75400.0,45,6,4,1,84,21.1,0.05,9,1.05,True,very_late
INV-10463,CL-1012,Design,97200.0,15,1,7,2,12,14.4,0.05,9,1.52,True,on_time
INV-10464,CL-1013,Development,19700.0,30,4,22,12,6,67.0,0.9,9,0.82,True,very_late
INV-10465,CL-1014,Marketing,276700.0,15,3,15,4,69,23.1,0.05,9,1.73,True,very_late
INV-10466,CL-1015,Consulting,72500.0,15,1,17,5,29,21.6,0.05,9,0.82,True,on_time
INV-10467,CL-1016,Photography,48200.0,45,4,11,10,76,17.1,0.05,9,0.6,True,late
INV-10468,CL-1017,Copywriting,28000.0,30,1,10,3,84,22.2,0.05,9,1.17,True,very_late
INV-10469,CL-1018,Design,111900.0,30,2,9,1,71,25.3,0.05,9,0.7,True,very_late
INV-10470,CL-1019,Development,26100.0,45,1,21,11,54,45.1,0.9,9,1.09,True,late
INV-10471,CL-1020,Marketing,184000.0,15,2,21,11,48,25.3,0.05,9,0.64,True,late
INV-10472,CL-1021,Consulting,120500.0,30,5,14,7,19,55.5,0.5,9,1.26,True,very_late
INV-10473,CL-1022,Photography,45800.0,15,6,18,8,30,18.8,0.05,9,1.91,True,on_time
INV-10474,CL-1023,Copywriting,51600.0,30,6,23,3,59,16.2,0.05,9,0.59,True,late
INV-10475,CL-1024,Design,220500.0,45,3,14,9,67,27.4,0.05,9,0.98,True,late
INV-10476,CL-1025,Development,132300.0,15,2,7,6,82,18.7,0.05,9,0.92,True,very_late
INV-10477,CL-1026,Marketing,108400.0,30,6,12,2,68,15.3,0.05,9,0.65,True,very_late
INV-10478,CL-1027,Consulting,15500.0,15,0,9,7,86,46.5,0.833,9,0.97,True,late
INV-10479,CL-1028,Photography,270600.0,15,6,3,4,75,25.9,0.05,9,1.13,True,very_late
INV-10480,CL-1029,Copywriting,195300.0,45,1,16,4,42,22.5,0.05,9,1.22,True,on_time
INV-10481,CL-1030,Design,438300.0,15,1,7,12,15,25.3,0.05,9,1.25,True,on_time
INV-10482,CL-1031,Development,145700.0,30,1,23,10,90,24.2,0.05,9,1.07,True,very_late
INV-10483,CL-1032,Marketing,23300.0,15,4,11,5,48,53.0,0.167,9,0.97,True,late
INV-10484,CL-1033,Consulting,276200.0,45,2,10,5,46,27.6,0.05,9,0.79,True,on_time
INV-10485,CL-1034,Photography,142000.0,30,3,4,12,60,19.3,0.05,9,0.99,True,late
INV-10486,CL-1035,Copywriting,225900.0,30,1,12,6,52,21.7,0.05,9,1.05,True,late
INV-10487,CL-1036,Design,469700.0,15,5,5,1,33,25.6,0.05,9,1.34,True,on_time
INV-10488,CL-1037,Development,123200.0,45,4,24,7,37,22.7,0.05,9,0.86,True,on_time
INV-10489,CL-1038,Marketing,191200.0,30,1,13,10,31,26.1,0.05,9,0.85,True,on_time
INV-10490,CL-1039,Consulting,23000.0,45,5,11,5,62,38.9,0.167,9,0.57,True,on_time
INV-10491,CL-1040,Photography,63200.0,45,5,16,8,21,23.9,0.05,9,1.32,True,on_time
INV-10492,CL-1041,Copywriting,131200.0,30,1,5,12,69,45.7,0.167,9,0.71,True,very_late
INV-10493,CL-1042,Design,127800.0,45,5,2,9,4,34.7,0.167,9,1.0,True,on_time
INV-10494,CL-1043,Development,230200.0,15,6,22,1,0,18.1,0.05,9,1.69,True,on_time
INV-10495,CL-1044,Marketing,148100.0,45,1,3,12,19,46.2,0.167,9,0.93,True,very_late
INV-10496,CL-1045,Consulting,77400.0,45,3,12,1,79,17.3,0.05,9,1.07,True,late
INV-10497,CL-1046,Photography,22000.0,45,3,22,8,2,63.5,0.833,9,0.92,True,very_late
INV-10498,CL-1047,Copywriting,84500.0,45,3,1,1,67,17.9,0.05,9,0.7,True,late
INV-10499,CL-1048,Design,435300.0,45,2,1,9,89,22.9,0.05,9,1.88,True,very_late
INV-10500,CL-1049,Development,286600.0,15,0,4,9,19,19.1,0.05,9,0.82,True,on_time
INV-10501,CL-1000,Design,39200.0,45,4,9,6,34,23.0,0.05,10,1.63,True,on_time
INV-10502,CL-1001,Development,122500.0,15,2,13,8,72,14.4,0.05,10,1.02,True,very_late
INV-10503,CL-1002,Marketing,71500.0,45,1,10,11,10,17.9,0.05,10,1.28,True,on_time
INV-10504,CL-1003,Consulting,142300.0,45,6,2,2,51,17.1,0.05,10,1.37,True,on_time
INV-10505,CL-1004,Photography,57800.0,45,3,2,11,1,56.0,0.167,10,1.45,True,on_time
INV-10506,CL-1005,Copywriting,63400.0,15,3,28,7,82,23.5,0.05,10,1.58,True,very_late
INV-10507,CL-1006,Design,181900.0,45,6,4,9,5,58.4,0.333,10,2.07,True,very_late
INV-10508,CL-1007,Development,205600.0,45,4,16,5,5,33.0,0.167,10,1.84,True,on_time
INV-10509,CL-1008,Marketing,165600.0,45,2,18,10,84,19.9,0.05,10,0.8,True,late
INV-10510,CL-1009,Consulting,57200.0,30,0,7,10,18,14.4,0.05,10,0.89,True,on_time
INV-10511,CL-1010,Photography,76900.0,45,6,13,2,38,48.3,0.9,10,1.2,True,very_late
INV-10512,CL-1011,Copywriting,71400.0,15,4,27,7,86,21.1,0.05,10,0.99,True,very_late
INV-10513,CL-1012,Design,117200.0,30,3,25,12,17,14.4,0.05,10,1.83,True,on_time
INV-10514,CL-1013,Development,24300.0,45,5,3,9,44,67.0,0.9,10,1.01,True,very_late
INV-10515,CL-1014,Marketing,198300.0,30,1,27,2,43,23.1,0.05,10,1.24,True,on_time
INV-10516,CL-1015,Consulting,80400.0,45,4,13,6,3,21.6,0.05,10,0.91,True,on_time
INV-10517,CL-1016,Photography,92000.0,30,3,8,6,70,17.1,0.05,10,1.15,True,very_late
INV-10518,CL-1017,Copywriting,20300.0,30,1,22,10,84,22.2,0.05,10,0.85,True,very_late
INV-10519,CL-1018,Design,104200.0,45,2,26,4,9,25.3,0.05,10,0.65,True,on_time
INV-10520,CL-1019,Development,26000.0,15,3,23,11,19,45.1,0.9,10,1.08,True,late
INV-10521,CL-1020,Marketing,500000.0,30,2,4,2,0,25.3,0.05,10,1.74,True,on_time
INV-10522,CL-1021,Consulting,140000.0,30,2,25,5,13,55.5,0.5,10,1.46,True,very_late
INV-10523,CL-1022,Photography,22600.0,15,3,15,9,71,18.8,0.05,10,0.94,True,very_late
INV-10524,CL-1023,Copywriting,110600.0,15,0,3,6,70,16.2,0.05,10,1.26,True,very_late
INV-10525,CL-1024,Design,375600.0,45,6,11,7,1,27.4,0.05,10,1.68,True,late
INV-10526,CL-1025,Development,115700.0,30,6,3,12,71,18.7,0.05,10,0.8,True,very_late
INV-10527,CL-1026,Marketing,199700.0,15,4,17,3,87,15.3,0.05,10,1.19,True,very_late
INV-10528,CL-1027,Consulting,13200.0,15,2,10,5,63,46.5,0.833,10,0.82,True,very_late
INV-10529,CL-1028,Photography,237900.0,15,3,9,7,38,25.9,0.05,10,0.99,True,late
INV-10530,CL-1029,Copywriting,193500.0,15,2,9,4,80,22.5,0.05,10,1.21,True,very_late
INV-10531,CL-1030,Design,458500.0,45,1,15,2,17,25.3,0.05,10,1.31,True,on_time
INV-10532,CL-1031,Development,203300.0,30,2,27,10,48,24.2,0.05,10,1.49,True,on_time
INV-10533,CL-1032,Marketing,21100.0,30,3,11,7,83,53.0,0.167,10,0.88,True,very_late
INV-10534,CL-1033,Consulting,222500.0,15,2,11,10,88,27.6,0.05,10,0.64,True,very_late
INV-10535,CL-1034,Photography,122300.0,30,1,13,6,37,19.3,0.05,10,0.85,True,on_time
INV-10536,CL-1035,Copywriting,212500.0,45,3,19,4,41,21.7,0.05,10,0.98,True,on_time
INV-10537,CL-1036,Design,359500.0,30,2,4,10,25,25.6,0.05,10,1.03,True,on_time
INV-10538,CL-1037,Development,204100.0,45,1,22,9,3,22.7,0.05,10,1.42,True,on_time
INV-10539,CL-1038,Marketing,129900.0,30,5,7,8,37,26.1,0.05,10,0.58,True,on_time
INV-10540,CL-1039,Consulting,67600.0,15,6,28,7,86,38.9,0.167,10,1.69,True,very_late
INV-10541,CL-1040,Photography,42500.0,45,2,8,5,84,23.9,0.05,10,0.89,True,very_late
INV-10542,CL-1041,Copywriting,164400.0,30,6,13,2,57,45.7,0.167,10,0.89,True,late
INV-10543,CL-1042,Design,146300.0,30,4,13,9,64,34.7,0.167,10,1.14,True,late
